STATE,COUNTY,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Alabama,Autauga County,61464,29749,31715,22300,23275,6263,7100,156,151,375,476,40,36,615,677,22879,23888,6594,7486,309,340,548,655,65,63,28576,30423,21384,22215,6112,6966,120,130,362,465,24,24,574,623,21926,22786,6421,7324,254,294,527,624,47,46,1173,1292,916,1060,151,134,36,21,13,11,16,12,41,54,953,1102,173,162,55,46,21,31,18,17
Alabama,Baldwin County,261608,127117,134491,110908,117167,10982,11317,1190,1157,1301,1833,69,112,2667,2905,113440,119887,12180,12710,2272,2294,1934,2560,197,267,119005,126500,103741,110121,10745,10997,835,868,1274,1804,51,88,2359,2622,105991,112597,11805,12243,1754,1880,1847,2451,150,199,8112,7991,7167,7046,237,320,355,289,27,29,18,24,308,283,7449,7290,375,467,518,414,87,109,47,68
Alabama,Barbour County,24358,12853,11505,6394,5780,6029,5371,128,79,64,79,43,28,195,168,6555,5927,6161,5481,198,125,88,109,53,38,12018,10763,5752,5176,5948,5292,57,44,63,78,22,11,176,162,5897,5318,6066,5399,118,89,87,104,32,20,835,742,642,604,81,79,71,35,1,1,21,17,19,6,658,609,95,82,80,36,1,5,21,18
Alabama,Bibb County,22258,11792,10466,8560,8349,2924,1806,67,60,28,40,23,9,190,202,8740,8523,3034,1932,126,128,57,77,32,19,11350,10112,8193,8058,2891,1784,58,48,23,34,5,3,180,185,8363,8218,2996,1903,111,107,52,67,14,11,442,354,367,291,33,22,9,12,5,6,18,6,10,17,377,305,38,29,15,21,5,10,18,8
Alabama,Blount County,60163,29935,30228,28400,28773,692,593,210,191,133,117,51,39,449,515,28826,29234,870,822,421,445,214,212,68,63,26491,27205,25201,25957,615,538,148,139,122,103,17,17,388,451,25572,26368,765,732,327,366,190,184,30,32,3444,3023,3199,2816,77,55,62,52,11,14,34,22,61,64,3254,2866,105,90,94,79,24,28,38,31
Alabama,Bullock County,9901,5444,4457,1599,1022,3678,3288,38,42,19,19,34,28,76,58,1670,1069,3727,3327,61,63,31,26,36,35,5102,4136,1395,800,3628,3257,9,19,11,14,3,2,56,44,1449,838,3662,3287,24,33,21,19,3,7,342,321,204,222,50,31,29,23,8,5,31,26,20,14,221,231,65,40,37,30,10,7,33,28
Alabama,Butler County,18256,8570,9686,4556,4842,3706,4543,49,55,127,114,5,5,127,127,4677,4954,3783,4624,83,99,149,132,7,9,8376,9527,4426,4750,3665,4499,41,43,122,110,4,5,118,120,4540,4856,3737,4574,73,85,140,128,6,9,194,159,130,92,41,44,8,12,5,4,1,0,9,7,137,98,46,50,10,14,9,4,1,0
Alabama,Calhoun County,116427,56310,60117,41610,43647,12346,13988,319,304,483,668,81,68,1471,1442,42976,44942,13204,14854,750,744,806,996,157,158,53272,57274,39094,41319,12130,13774,226,222,428,596,59,53,1335,1310,40338,42505,12913,14557,604,608,726,896,125,121,3038,2843,2516,2328,216,214,93,82,55,72,22,15,136,132,2638,2437,291,297,146,136,80,100,32,37
Alabama,Chambers County,33813,15962,17851,9375,10161,6091,7203,81,66,161,128,13,6,241,287,9594,10415,6237,7393,155,150,200,176,21,21,15201,17038,8859,9506,5952,7121,45,43,141,122,5,5,199,241,9041,9720,6070,7283,109,110,173,159,11,14,761,813,516,655,139,82,36,23,20,6,8,1,42,46,553,695,167,110,46,40,27,17,10,7
Alabama,Cherokee County,26138,13026,13112,12020,12115,587,530,109,107,48,76,10,7,252,277,12258,12369,700,672,232,238,81,107,14,17,12758,12837,11804,11897,581,516,90,88,47,73,1,0,235,263,12028,12138,683,654,205,211,79,99,5,7,268,275,216,218,6,14,19,19,1,3,9,7,17,14,230,231,17,18,27,27,2,8,9,10
Alabama,Chilton County,47262,23293,23969,20143,20728,2376,2539,206,135,93,136,59,30,416,401,20530,21091,2629,2790,335,266,157,198,75,46,20467,21671,17708,18679,2233,2427,92,80,83,122,9,8,342,355,18028,19001,2438,2646,196,191,137,180,20,21,2826,2298,2435,2049,143,112,114,55,10,14,50,22,74,46,2502,2090,191,144,139,75,20,18,55,25
Alabama,Choctaw County,12052,5740,6312,3468,3507,2185,2685,17,14,10,43,0,0,60,63,3523,3565,2223,2731,33,28,19,53,2,1,5673,6216,3423,3434,2166,2668,16,14,8,38,0,0,60,62,3478,3491,2204,2713,32,28,17,48,2,1,67,96,45,73,19,17,1,0,2,5,0,0,0,1,45,74,19,18,1,0,2,5,0,0
Alabama,Clarke County,22142,10490,11652,5701,5925,4540,5434,70,82,43,59,4,0,132,152,5821,6061,4622,5524,102,136,69,85,9,8,10320,11506,5578,5835,4509,5402,62,69,42,57,4,0,125,143,5691,5963,4587,5488,92,118,67,82,9,6,170,146,123,90,31,32,8,13,1,2,0,0,7,9,130,98,35,36,10,18,2,3,0,2
Alabama,Clay County,14239,6967,7272,5771,5997,948,1035,40,51,39,23,0,0,169,166,5932,6155,1057,1150,81,93,59,39,8,2,6698,7041,5551,5808,917,1010,38,43,37,20,0,0,155,160,5698,5961,1016,1122,75,83,57,34,8,2,269,231,220,189,31,25,2,8,2,3,0,0,14,6,234,194,41,28,6,10,2,5,0,0
Alabama,Cleburne County,15905,7894,8011,7440,7532,259,241,33,40,26,34,11,1,125,163,7551,7686,343,359,65,76,46,51,16,5,7702,7842,7292,7394,238,225,28,36,21,34,2,0,121,153,7400,7538,320,337,58,70,40,49,7,4,192,169,148,138,21,16,5,4,5,0,9,1,4,10,151,148,23,22,7,6,6,2,9,1
Alabama,Coffee County,56358,27914,28444,21308,21398,4668,4892,412,429,363,631,162,108,1001,986,22207,22261,5163,5367,743,781,647,901,216,190,24943,25461,19017,18943,4393,4712,262,304,332,600,60,46,879,856,19812,19699,4831,5121,538,597,592,837,99,104,2971,2983,2291,2455,275,180,150,125,31,31,102,62,122,130,2395,2562,332,246,205,184,55,64,117,86
Alabama,Colbert County,58785,28189,30596,22806,24283,4240,5038,235,204,220,327,20,25,668,719,23434,24959,4632,5470,472,450,288,405,42,48,26994,29416,21816,23311,4160,4954,179,168,215,310,12,17,612,656,22392,23928,4525,5350,392,391,278,378,30,38,1195,1180,990,972,80,84,56,36,5,17,8,8,56,63,1042,1031,107,120,80,59,10,27,12,10
Alabama,Conecuh County,11109,5356,5753,2913,2871,2265,2700,43,35,25,37,3,2,107,108,3009,2968,2332,2752,81,78,40,58,5,9,5167,5595,2797,2783,2218,2652,38,30,24,33,1,2,89,95,2875,2868,2276,2701,68,67,38,50,3,7,189,158,116,88,47,48,5,5,1,4,2,0,18,13,134,100,56,51,13,11,2,8,2,2
Alabama,Coosa County,10291,5194,5097,3577,3422,1442,1515,50,39,9,16,9,12,107,93,3673,3505,1498,1559,92,77,24,30,16,20,5035,4968,3488,3344,1407,1493,34,33,8,16,2,2,96,80,3574,3416,1458,1532,72,65,21,28,7,8,159,129,89,78,35,22,16,6,1,0,7,10,11,13,99,89,40,27,20,12,3,2,9,12
Alabama,Covington County,37748,18133,19615,15398,16357,2106,2594,161,139,104,128,3,4,361,393,15740,16727,2318,2832,291,273,134,162,17,16,17725,19190,15091,16038,2058,2539,137,114,100,123,2,1,337,375,15410,16393,2254,2766,261,241,128,154,15,13,408,425,307,319,48,55,24,25,4,5,1,3,24,18,330,334,64,66,30,32,6,8,2,3
Alabama,Crenshaw County,13114,6419,6695,4640,4800,1457,1623,53,51,87,66,5,6,177,149,4803,4938,1574,1715,103,100,105,82,14,11,6180,6530,4440,4676,1434,1605,52,45,86,66,2,5,166,133,4594,4800,1545,1685,99,90,102,80,9,10,239,165,200,124,23,18,1,6,1,0,3,1,11,16,209,138,29,30,4,10,3,2,5,1
Alabama,Cullman County,92604,46152,46452,43937,44469,796,562,314,304,305,376,44,55,756,686,44650,45112,1072,809,714,684,409,468,73,82,43563,44027,41630,42264,691,503,269,249,290,364,31,35,652,612,42247,42843,924,717,616,590,381,442,55,56,2589,2425,2307,2205,105,59,45,55,15,12,13,20,104,74,2403,2269,148,92,98,94,28,26,18,26
Alabama,Dale County,50067,24544,25523,18048,18023,4976,5865,263,208,327,473,48,43,882,911,18852,18843,5431,6343,531,490,536,695,104,104,22604,23767,16514,16634,4805,5678,185,165,316,460,32,34,752,796,17199,17350,5199,6099,398,397,507,661,73,83,1940,1756,1534,1389,171,187,78,43,11,13,16,9,130,115,1653,1493,232,244,133,93,29,34,31,21
Alabama,Dallas County,35545,16519,19026,4618,4957,11479,13678,69,43,143,142,11,7,199,199,4800,5140,11607,13810,124,98,169,166,19,14,16285,18832,4497,4848,11408,13616,55,35,134,136,6,7,185,190,4666,5022,11527,13740,108,89,157,160,13,14,234,194,121,109,71,62,14,8,9,6,5,0,14,9,134,118,80,70,16,9,12,6,6,0
Alabama,DeKalb County,73122,36594,36528,33511,33715,785,737,825,792,203,198,333,200,937,886,34406,34556,1068,989,1422,1385,288,273,360,228,29631,30370,27635,28407,577,564,438,460,139,135,43,23,799,781,28397,29151,820,777,952,989,209,201,62,45,6963,6158,5876,5308,208,173,387,332,64,63,290,177,138,105,6009,5405,248,212,470,396,79,72,298,183
Alabama,Elmore County,91042,44201,46841,32801,35194,9940,10075,254,224,333,350,48,55,825,943,33559,36061,10351,10557,530,559,524,552,85,99,42563,45132,31446,33815,9831,9937,195,155,324,333,33,39,734,853,32122,34598,10199,10378,433,449,495,522,65,79,1638,1709,1355,1379,109,138,59,69,9,17,15,16,91,90,1437,1463,152,179,97,110,29,30,20,20
Alabama,Escambia County,36630,18309,18321,11226,11550,5815,5553,665,658,61,66,17,10,525,484,11703,12006,6103,5811,861,852,135,119,42,27,17811,17891,10899,11240,5735,5496,645,629,56,61,12,6,464,459,11320,11672,5994,5739,814,812,120,113,34,23,498,430,327,310,80,57,20,29,5,5,5,4,61,25,383,334,109,72,47,40,15,6,8,4
Alabama,Etowah County,103207,50279,52928,40726,42407,7301,8390,469,383,461,481,209,192,1113,1075,41776,43422,7895,8943,894,809,606,615,243,228,47141,50115,38372,40196,7117,8246,235,203,405,450,38,43,974,977,39291,41121,7644,8749,602,592,529,569,67,75,3138,2813,2354,2211,184,144,234,180,56,31,171,149,139,98,2485,2301,251,194,292,217,77,46,176,153
Alabama,Fayette County,15863,7783,8080,6638,6974,909,881,42,37,31,56,0,2,163,130,6786,7100,1012,968,95,71,49,67,8,5,7581,7907,6480,6827,893,867,32,29,25,53,0,2,151,129,6619,6952,988,953,82,63,40,64,5,5,202,173,158,147,16,14,10,8,6,3,0,0,12,1,167,148,24,15,13,8,9,3,3,0
Alabama,Franklin County,31874,15910,15964,14409,14651,760,612,288,297,76,60,37,50,340,294,14725,14935,922,765,456,428,108,82,49,54,12147,12731,11090,11822,657,508,81,80,51,42,11,29,257,250,11330,12063,781,639,206,190,75,61,17,33,3763,3233,3319,2829,103,104,207,217,25,18,26,21,83,44,3395,2872,141,126,250,238,33,21,32,21
Alabama,Geneva County,27259,13353,13906,11467,12016,1222,1252,190,173,69,69,16,11,389,385,11827,12383,1436,1463,339,325,120,110,29,22,12513,13153,10794,11395,1178,1216,134,118,58,65,5,6,344,353,11112,11731,1371,1409,258,258,106,103,18,15,840,753,673,621,44,36,56,55,11,4,11,5,45,32,715,652,65,54,81,67,14,7,11,7
Alabama,Greene County,7127,3300,3827,647,705,2589,3043,18,18,12,13,0,0,34,48,675,752,2611,3074,31,35,15,16,2,0,3255,3799,626,687,2579,3037,6,16,12,12,0,0,32,47,653,733,2600,3067,17,33,15,15,2,0,45,28,21,18,10,6,12,2,0,1,0,0,2,1,22,19,11,7,14,2,0,1,0,0
Alabama,Hale County,15116,7183,7933,3052,3049,3997,4731,20,28,23,34,1,5,90,86,3133,3131,4039,4779,55,54,44,45,7,11,7066,7815,2968,2976,3973,4704,18,21,22,34,1,4,84,76,3043,3050,4010,4745,52,46,43,42,7,9,117,118,84,73,24,27,2,7,1,0,0,1,6,10,90,81,29,34,3,8,1,3,0,2
Alabama,Henry County,18141,8743,9398,6474,6793,1969,2319,65,35,53,64,3,1,179,186,6644,6973,2077,2428,124,95,72,79,8,9,8512,9191,6299,6647,1936,2280,59,30,44,60,2,1,172,173,6462,6815,2040,2380,116,86,62,75,7,8,231,207,175,146,33,39,6,5,9,4,1,0,7,13,182,158,37,48,8,9,10,4,1,1
Alabama,Houston County,109366,52499,56867,36246,37850,13875,16370,324,399,627,811,57,67,1370,1370,37469,39069,14636,17139,762,840,917,1079,131,142,49598,54124,33909,35698,13646,16101,193,261,591,782,31,38,1228,1244,35005,36805,14343,16801,574,654,852,1025,92,103,2901,2743,2337,2152,229,269,131,138,36,29,26,29,142,126,2464,2264,293,338,188,186,65,54,39,39
Alabama,Jackson County,53780,26463,27317,24060,24870,947,906,424,434,191,190,40,35,801,882,24825,25723,1193,1174,943,1006,252,245,56,58,25294,26301,23148,24092,878,861,345,357,163,165,20,14,740,812,23856,24881,1106,1103,829,886,216,213,32,34,1169,1016,912,778,69,45,79,77,28,25,20,21,61,70,969,842,87,71,114,120,36,32,24,24
Alabama,Jefferson County,664744,315171,349573,171440,179491,130457,156363,1405,1201,6521,6991,195,168,5153,5359,175949,184091,133337,159408,2976,2852,8012,8511,353,368,294936,330705,153906,163133,129223,155024,585,684,6445,6924,84,76,4693,4864,158032,167321,131855,157782,1962,2146,7825,8336,206,228,20235,18868,17534,16358,1234,1339,820,517,76,67,111,92,460,495,17917,16770,1482,1626,1014,706,187,175,147,140
Alabama,Lamar County,13543,6712,6831,5826,5939,704,729,31,35,10,7,1,1,140,120,5954,6051,779,792,88,81,25,24,8,4,6551,6703,5706,5838,687,718,18,21,8,7,1,0,131,119,5827,5950,756,780,71,66,23,24,7,3,161,128,120,101,17,11,13,14,2,0,0,1,9,1,127,101,23,12,17,15,2,0,1,1
Alabama,Lauderdale County,97502,46814,50688,40363,43522,4592,5322,306,225,543,562,42,33,968,1024,41259,44471,5148,5906,640,595,685,696,67,74,44998,48910,38918,42008,4469,5219,204,196,517,528,23,16,867,943,39726,42885,4971,5752,496,537,643,657,45,51,1816,1778,1445,1514,123,103,102,29,26,34,19,17,101,81,1533,1586,177,154,144,58,42,39,22,23
Alabama,Lawrence County,33567,16406,17161,12984,13414,1568,1833,944,958,56,51,8,2,846,903,13789,14290,1758,2040,1584,1621,109,103,20,21,15761,16541,12470,12904,1537,1793,899,927,48,49,6,2,801,866,13236,13747,1714,1983,1508,1568,97,100,15,18,645,620,514,510,31,40,45,31,8,2,2,0,45,37,553,543,44,57,76,53,12,3,5,3
Alabama,Lee County,187847,92938,94909,65847,65723,19681,22741,393,363,4895,4159,120,99,2002,1824,67645,67347,20668,23665,930,839,5585,4770,204,183,87306,89915,61053,61606,19320,22344,242,226,4845,4092,46,66,1800,1581,62681,63025,20215,23128,688,622,5484,4641,110,132,5632,4994,4794,4117,361,397,151,137,50,67,74,33,202,243,4964,4322,453,537,242,217,101,129,94,51
Alabama,Limestone County,118942,59882,59060,47130,46671,9240,8590,498,513,1359,1606,99,115,1556,1565,48559,48111,10010,9350,1093,1096,1688,1936,150,177,55077,54552,43048,42911,8966,8303,336,317,1337,1572,46,46,1344,1403,44297,44207,9639,8981,828,828,1626,1871,80,102,4805,4508,4082,3760,274,287,162,196,22,34,53,69,212,162,4262,3904,371,369,265,268,62,65,70,75
Alabama,Lowndes County,9485,4499,4986,1267,1228,3133,3668,20,15,24,23,4,0,51,52,1313,1278,3165,3694,39,37,29,28,6,2,4419,4902,1230,1193,3109,3636,18,14,18,19,4,0,40,40,1268,1232,3136,3655,29,30,22,23,5,2,80,84,37,35,24,32,2,1,6,4,0,0,11,12,45,46,29,39,10,7,7,5,1,0
Alabama,Macon County,18159,8264,9895,1744,1642,6281,8008,26,36,77,40,2,1,134,168,1853,1777,6349,8091,91,109,101,82,13,14,7999,9673,1594,1548,6209,7929,20,30,71,39,1,1,104,126,1679,1652,6265,7989,68,81,89,70,10,11,265,222,150,94,72,79,6,6,6,1,1,0,30,42,174,125,84,102,23,28,12,12,3,3
Alabama,Madison County,423355,208746,214609,144418,142798,50196,56715,1827,1771,5605,6525,276,246,6424,6554,150171,148566,53272,59941,4033,4042,7777,8733,514,501,193297,199411,131594,130222,48941,55282,1262,1297,5486,6462,189,190,5825,5958,136835,135495,51721,58190,3193,3298,7492,8485,365,394,15449,15198,12824,12576,1255,1433,565,474,119,63,87,56,599,596,13336,13071,1551,1751,840,744,285,248,149,107
Alabama,Marengo County,18512,8728,9784,4178,4315,4358,5212,27,27,37,34,18,15,110,181,4278,4479,4416,5301,69,115,55,59,23,21,8381,9510,3910,4181,4326,5177,22,22,26,32,3,5,94,93,3997,4267,4376,5222,55,61,41,47,6,8,347,274,268,134,32,35,5,5,11,2,15,10,16,88,281,212,40,79,14,54,14,12,17,13
Alabama,Marion County,29323,14584,14739,13429,13796,753,555,80,74,55,66,12,14,255,234,13666,14013,889,674,180,174,85,97,21,20,14061,14225,12980,13359,717,531,73,58,54,60,5,6,232,211,13198,13556,841,640,161,145,81,87,13,12,523,514,449,437,36,24,7,16,1,6,7,8,23,23,468,457,48,34,19,29,4,10,8,8
Alabama,Marshall County,102156,50625,51531,46237,47429,1940,1629,833,726,365,525,213,216,1037,1006,47177,48348,2450,2120,1306,1175,499,667,262,263,40651,42694,37602,39666,1534,1387,307,306,299,449,83,74,826,812,38366,40418,1942,1783,672,655,402,561,108,106,9974,8837,8635,7763,406,242,526,420,66,76,130,142,211,194,8811,7930,508,337,634,520,97,106,154,157
Alabama,Mobile County,412339,196557,215782,116540,122378,69676,82030,1860,2075,4422,4997,97,93,3962,4209,120021,126026,71891,84393,3209,3562,5481,6140,250,276,188897,208205,110071,116044,68978,81305,1721,1955,4398,4938,67,70,3662,3893,113306,119436,71035,83500,2930,3288,5377,5996,177,217,7660,7577,6469,6334,698,725,139,120,24,59,30,23,300,316,6715,6590,856,893,279,274,104,144,73,59
Alabama,Monroe County,19057,9050,10007,5058,5341,3577,4251,141,147,73,59,6,2,195,207,5237,5533,3681,4353,216,230,95,91,16,8,8894,9862,4941,5248,3555,4224,136,137,71,58,2,2,189,193,5116,5426,3657,4325,206,210,93,87,11,8,156,145,117,93,22,27,5,10,2,1,4,0,6,14,121,107,24,28,10,20,2,4,5,0
Alabama,Montgomery County,225894,106149,119745,36608,37727,62636,75180,439,467,4555,4273,113,106,1798,1992,38072,39291,63771,76432,977,1123,5151,4950,242,244,100027,113865,31782,33114,61924,74504,227,224,4515,4229,40,46,1539,1748,33040,34485,62893,75611,645,767,5038,4827,124,141,6122,5880,4826,4613,712,676,212,243,40,44,73,60,259,244,5032,4806,878,821,332,356,113,123,118,103
Alabama,Morgan County,126084,62755,63329,51453,51712,8136,8542,1020,756,422,559,117,90,1607,1670,52967,53271,8959,9376,1687,1452,663,835,165,150,54947,56844,44824,46023,7743,8282,521,484,372,518,51,40,1436,1497,46187,47423,8485,9035,1101,1092,584,761,82,82,7808,6485,6629,5689,393,260,499,272,50,41,66,50,171,173,6780,5848,474,341,586,360,79,74,83,68
Alabama,Perry County,7719,3576,4143,1065,1153,2433,2902,13,15,32,16,3,2,30,55,1093,1204,2449,2935,25,34,36,24,4,3,3522,4083,1032,1125,2419,2880,12,11,30,16,3,2,26,49,1056,1171,2433,2909,21,28,34,23,4,2,54,60,33,28,14,22,1,4,2,0,0,0,4,6,37,33,16,26,4,6,2,1,0,1
Alabama,Pickens County,18508,9369,9139,5660,5156,3458,3777,34,31,32,42,43,27,142,106,5787,5255,3555,3839,74,69,46,57,49,27,8565,8675,4957,4782,3412,3727,30,27,27,34,2,2,137,103,5081,4878,3506,3788,66,64,41,48,8,2,804,464,703,374,46,50,4,4,5,8,41,25,5,3,706,377,49,51,8,5,5,9,41,25
Alabama,Pike County,33124,15771,17353,9193,9615,5695,6907,125,120,437,353,16,13,305,345,9454,9917,5857,7094,239,239,509,442,30,31,15279,16887,8822,9288,5639,6834,108,101,426,348,4,3,280,313,9064,9561,5790,7007,206,200,494,434,15,18,492,466,371,327,56,73,17,19,11,5,12,10,25,32,390,356,67,87,33,39,15,8,15,13
Alabama,Randolph County,23067,11279,11788,8885,9240,1960,2171,113,65,66,91,19,5,236,216,9096,9438,2101,2296,202,150,97,121,27,11,10844,11475,8564,8982,1938,2150,52,54,63,84,12,5,215,200,8759,9166,2069,2268,130,130,89,111,16,9,435,313,321,258,22,21,61,11,3,7,7,0,21,16,337,272,32,28,72,20,8,10,11,2
Alabama,Russell County,58837,27948,30889,14035,14705,12584,14710,207,203,173,239,94,84,855,948,14790,15536,13103,15273,443,488,410,513,146,142,25980,28975,12596,13270,12306,14440,120,134,134,218,83,67,741,846,13257,14013,12762,14949,304,369,344,462,115,112,1968,1914,1439,1435,278,270,87,69,39,21,11,17,114,102,1533,1523,341,324,139,119,66,51,31,30
Alabama,St. Clair County,96927,47777,49150,40521,42038,5750,5497,200,187,352,503,55,46,899,879,41361,42852,6212,5949,529,514,534,680,81,75,46200,47612,39185,40712,5645,5422,155,150,343,492,32,31,840,805,39973,41459,6077,5839,460,443,513,655,52,53,1577,1538,1336,1326,105,75,45,37,9,11,23,15,59,74,1388,1393,135,110,69,71,21,25,29,22
Alabama,Shelby County,235969,114675,121294,92490,96570,16600,18524,723,556,2694,3360,273,235,1895,2049,94271,98465,17489,19526,1329,1194,3363,4079,359,343,105018,112216,84039,88441,16305,18209,280,335,2620,3323,51,42,1723,1866,85667,90178,17107,19113,812,888,3231,3984,114,121,9657,9078,8451,8129,295,315,443,221,74,37,222,193,172,183,8604,8287,382,413,517,306,132,95,245,222
Alabama,Sumter County,11607,5322,6285,1503,1660,3661,4410,7,15,75,120,2,4,74,76,1570,1730,3707,4458,31,39,84,129,5,6,5238,6200,1447,1618,3638,4379,7,14,75,119,0,1,71,69,1511,1682,3682,4425,30,33,84,127,3,2,84,85,56,42,23,31,0,1,0,1,2,3,3,7,59,48,25,33,1,6,0,2,2,4
Alabama,Talladega County,81375,39683,41692,25565,26460,12735,13897,203,138,296,284,14,16,870,897,26340,27269,13278,14432,502,466,460,444,54,67,38404,40855,24578,25819,12575,13803,148,121,292,275,10,9,801,828,25299,26569,13083,14303,412,413,436,428,42,48,1279,837,987,641,160,94,55,17,4,9,4,7,69,69,1041,700,195,129,90,53,24,16,12,19
Alabama,Tallapoosa County,40699,19884,20815,14247,14454,5116,5813,84,79,118,129,14,12,305,328,14519,14747,5299,6015,206,179,171,195,25,34,19203,20221,13767,13994,5003,5747,67,72,111,118,2,4,253,286,13995,14250,5157,5933,163,154,153,172,10,18,681,594,480,460,113,66,17,7,7,11,12,8,52,42,524,497,142,82,43,25,18,23,15,16
Alabama,Tuscaloosa County,241212,116108,125104,75770,77533,35550,42978,518,442,2454,2308,103,112,1713,1731,77341,79102,36489,43928,999,923,3019,2878,202,225,108705,118477,69386,71928,35133,42504,238,233,2371,2206,42,48,1535,1558,70808,73353,35969,43368,646,643,2885,2717,113,127,7403,6627,6384,5605,417,474,280,209,83,102,61,64,178,173,6533,5749,520,560,353,280,134,161,89,98
Alabama,Walker County,65260,31851,33409,28871,30104,1917,2287,236,178,172,205,43,26,612,609,29453,30673,2268,2675,471,379,247,272,58,42,30307,32145,27592,29076,1843,2214,148,119,139,176,15,10,570,550,28137,29592,2171,2569,364,295,205,234,29,22,1544,1264,1279,1028,74,73,88,59,33,29,28,16,42,59,1316,1081,97,106,107,84,42,38,29,20
Alabama,Washington County,15018,7351,7667,4948,5027,1635,1766,516,660,88,45,13,10,151,159,5085,5168,1708,1849,570,720,124,81,20,16,7253,7576,4891,4973,1623,1755,504,640,86,45,7,7,142,156,5021,5111,1694,1836,552,698,118,81,14,13,98,91,57,54,12,11,12,20,2,0,6,3,9,3,64,57,14,13,18,22,6,0,6,3
Alabama,Wilcox County,9865,4614,5251,1374,1429,3123,3727,10,18,13,13,2,1,92,63,1454,1484,3161,3762,50,41,39,27,8,5,4541,5187,1334,1399,3100,3697,10,18,10,13,1,1,86,59,1409,1450,3135,3729,48,41,34,26,7,5,73,64,40,30,23,30,0,0,3,0,1,0,6,4,45,34,26,33,2,0,5,1,1,0
Alabama,Winston County,23869,11903,11966,11268,11429,185,141,145,103,42,67,29,22,234,204,11491,11614,276,227,261,210,78,101,37,29,11391,11476,10868,11018,172,129,91,78,38,59,4,5,218,187,11077,11188,258,207,198,178,72,88,10,11,512,490,400,411,13,12,54,25,4,8,25,17,16,17,414,426,18,20,63,32,6,13,27,18
Alaska,Aleutians East Borough,3632,2579,1053,731,221,374,43,255,211,1102,484,16,20,101,74,820,276,398,64,294,250,1145,507,25,31,2013,893,300,102,287,33,243,197,1078,477,15,18,90,66,378,152,307,49,278,232,1118,498,24,29,566,160,431,119,87,10,12,14,24,7,1,2,11,8,442,124,91,15,16,18,27,9,1,2
Alaska,Aleutians West Census Area,5424,3816,1608,1482,454,441,47,246,173,1328,779,175,49,144,106,1593,536,478,84,311,216,1382,810,205,73,3252,1418,1060,336,418,38,210,154,1268,751,170,48,126,91,1156,405,453,68,261,190,1319,779,198,71,564,190,422,118,23,9,36,19,60,28,5,1,18,15,437,131,25,16,50,26,63,31,7,2
Alaska,Anchorage Municipality,289600,148317,141283,93078,83875,9128,7748,13606,14632,14224,16946,5094,4967,13187,13115,104568,95349,13369,11840,20007,21070,18831,21503,6398,6305,133481,127465,82935,74505,8003,6695,12167,13313,13815,16617,4942,4747,11619,11588,93043,84640,11580,10125,17775,19026,17933,20705,6070,5910,14836,13818,10143,9370,1125,1053,1439,1319,409,329,152,220,1568,1527,11525,10709,1789,1715,2232,2044,898,798,328,395
Alaska,Bethel Census Area,18237,9549,8688,869,673,100,93,7973,7451,139,96,12,22,456,353,1266,964,165,160,8316,7712,225,156,56,60,9389,8544,805,633,97,92,7904,7370,136,95,7,15,440,339,1187,911,162,152,8234,7627,217,153,49,51,160,144,64,40,3,1,69,81,3,1,5,7,16,14,79,53,3,8,82,85,8,3,7,9
Alaska,Bristol Bay Borough,884,500,384,240,159,9,4,131,117,8,12,0,6,112,86,346,234,29,29,201,172,30,27,6,9,464,347,228,135,7,2,122,111,8,11,0,6,99,82,322,207,23,26,183,164,29,24,6,9,36,37,12,24,2,2,9,6,0,1,0,0,13,4,24,27,6,3,18,8,1,3,0,0
Alaska,Chugach Census Area,6604,3531,3073,2534,2111,74,90,384,380,239,220,36,25,264,247,2776,2336,107,132,577,556,286,263,50,36,3320,2860,2398,1982,65,77,362,343,236,215,36,25,223,218,2603,2179,87,111,527,502,278,253,48,35,211,213,136,129,9,13,22,37,3,5,0,0,41,29,173,157,20,21,50,54,8,10,2,1
