STATE,COUNTY,TOT_POP,TOT_MALE,TOT_FEMALE,WA_MALE,WA_FEMALE,BA_MALE,BA_FEMALE,IA_MALE,IA_FEMALE,AA_MALE,AA_FEMALE,NA_MALE,NA_FEMALE,TOM_MALE,TOM_FEMALE,WAC_MALE,WAC_FEMALE,BAC_MALE,BAC_FEMALE,IAC_MALE,IAC_FEMALE,AAC_MALE,AAC_FEMALE,NAC_MALE,NAC_FEMALE,NH_MALE,NH_FEMALE,NHWA_MALE,NHWA_FEMALE,NHBA_MALE,NHBA_FEMALE,NHIA_MALE,NHIA_FEMALE,NHAA_MALE,NHAA_FEMALE,NHNA_MALE,NHNA_FEMALE,NHTOM_MALE,NHTOM_FEMALE,NHWAC_MALE,NHWAC_FEMALE,NHBAC_MALE,NHBAC_FEMALE,NHIAC_MALE,NHIAC_FEMALE,NHAAC_MALE,NHAAC_FEMALE,NHNAC_MALE,NHNAC_FEMALE,H_MALE,H_FEMALE,HWA_MALE,HWA_FEMALE,HBA_MALE,HBA_FEMALE,HIA_MALE,HIA_FEMALE,HAA_MALE,HAA_FEMALE,HNA_MALE,HNA_FEMALE,HTOM_MALE,HTOM_FEMALE,HWAC_MALE,HWAC_FEMALE,HBAC_MALE,HBAC_FEMALE,HIAC_MALE,HIAC_FEMALE,HAAC_MALE,HAAC_FEMALE,HNAC_MALE,HNAC_FEMALE
Florida,Polk County,852878,420565,432313,320476,328281,74309,77020,4274,3901,9028,10410,657,614,11821,12087,331300,339310,82189,85076,7005,6756,11677,13183,1286,1242,283380,298265,202387,212860,63532,66301,1106,1144,8129,9570,219,237,8007,8153,209585,220138,68703,71522,2762,2925,10201,11741,698,724,137185,134048,118089,115421,10777,10719,3168,2757,899,840,438,377,3814,3934,121715,119172,13486,13554,4243,3831,1476,1442,588,518
Florida,Putnam County,77301,38401,38900,31112,30950,5830,6369,306,292,289,353,46,59,818,877,31880,31766,6295,6860,559,560,411,496,83,101,33663,34542,26968,27129,5550,6143,180,179,261,320,26,40,678,731,27607,27807,5929,6541,389,408,366,443,56,78,4738,4358,4144,3821,280,226,126,113,28,33,20,19,140,146,4273,3959,366,319,170,152,45,53,27,23
Florida,St. Johns County,334928,164379,170549,141709,147355,9699,9474,654,527,8095,8811,192,155,4030,4227,145457,151276,11381,11211,1434,1350,9946,10813,383,340,147842,154453,127025,133025,8913,8655,412,334,7925,8660,138,110,3429,3669,130220,136437,10275,10092,1037,1005,9602,10496,292,272,16537,16096,14684,14330,786,819,242,193,170,151,54,45,601,558,15237,14839,1106,1119,397,345,344,317,91,68
Florida,St. Lucie County,390670,192075,198595,135876,138504,46107,48743,1379,1209,3414,4689,246,216,5053,5234,140131,142885,49503,52242,2513,2429,4846,6219,641,619,146027,153606,95385,99018,43130,45725,465,345,3175,4485,125,116,3747,3917,98439,102184,45595,48282,1240,1210,4354,5761,441,444,46048,44989,40491,39486,2977,3018,914,864,239,204,121,100,1306,1317,41692,40701,3908,3960,1273,1219,492,458,200,175
Florida,Santa Rosa County,207653,106498,101155,90009,87787,8744,5169,981,879,1974,3131,225,206,4565,3983,94262,91465,10505,6657,2148,1877,4066,5051,457,408,98175,94017,83347,81809,8244,4799,799,674,1870,3003,184,173,3731,3559,86812,85108,9621,6084,1656,1523,3725,4797,375,348,8323,7138,6662,5978,500,370,182,205,104,128,41,33,834,424,7450,6357,884,573,492,354,341,254,82,60
Florida,Sarasota County,476604,228882,247722,207749,224510,11036,11634,878,822,4878,6164,182,189,4159,4403,211580,228561,13150,13828,2002,2085,6265,7650,408,411,201805,219968,183423,199546,9681,10229,433,447,4696,6001,100,103,3472,3642,186617,202885,11396,11968,1329,1473,5935,7325,286,285,27077,27754,24326,24964,1355,1405,445,375,182,163,82,86,687,761,24963,25676,1754,1860,673,612,330,325,122,126
Florida,Seminole County,494605,240662,253943,183434,192290,32830,36636,1341,1317,14786,15332,340,345,7931,8023,190622,199530,37426,41232,3068,3056,17804,18452,739,756,179556,189400,130645,136043,28282,31736,545,571,14355,14913,144,183,5585,5954,135597,141318,31318,34964,1621,1765,16765,17500,423,476,61106,64543,52789,56247,4548,4900,796,746,431,419,196,162,2346,2069,55025,58212,6108,6268,1447,1291,1039,952,316,280
Florida,Sumter County,154693,76579,78114,67199,71749,7125,3899,428,256,776,1240,66,59,985,911,68007,72517,7603,4307,849,671,1007,1467,172,146,70293,73434,61843,67615,6666,3638,237,177,753,1188,50,50,744,766,62437,68257,7017,3969,561,529,947,1386,122,123,6286,4680,5356,4134,459,261,191,79,23,52,16,9,241,145,5570,4260,586,338,288,142,60,81,50,23
Florida,Suwannee County,47536,24649,22887,20248,19374,3460,2484,186,248,178,187,37,32,540,562,20744,19878,3767,2780,349,439,274,295,71,69,21404,20095,17386,16927,3297,2374,93,111,157,174,12,14,459,495,17806,17374,3554,2626,229,284,239,268,41,47,3245,2792,2862,2447,163,110,93,137,21,13,25,18,81,67,2938,2504,213,154,120,155,35,27,30,22
Florida,Taylor County,21843,11547,10296,8710,7902,2360,1906,125,110,87,86,8,10,257,282,8945,8158,2506,2062,209,197,128,132,20,32,10878,9935,8137,7601,2306,1878,109,93,81,85,6,5,239,273,8354,7848,2441,2028,187,179,119,129,18,27,669,361,573,301,54,28,16,17,6,1,2,5,18,9,591,310,65,34,22,18,9,3,2,5
