County,State,something1,something2,Founded_date,footnotes
Switzerland,IN,"9,737",221,1 Oct 1814,
Tippecanoe,IN,"186,251",500,1 Mar 1826,
Tipton,IN,"15,359",261,15 Jan 1844,
Union,IN,"7,087",161,5 Jan 1821,
Vanderburgh,IN,"180,136",233,7 Jan 1818,
Vermillion,IN,"15,439",257,2 Jan 1824,
Vigo,IN,"106,153",403,21 Jan 1818,
Wabash,IN,"30,976",412,Jan 1820,
Warren,IN,"8,440",365,1 Mar 1827,
Warrick,IN,"63,898",385,30 Apr 1813,
Washington,IN,"28,182",514,21 Dec 1813,
Wayne,IN,"66,553",402,27 Nov 1811,
Wells,IN,"28,180",368,2 Feb 1837,
White,IN,"24,688",505,1 Feb 1834,
Whitley,IN,"34,191",336,7 Feb 1835,
Adair,IA,"7,496",569,15 Jan 1851,
Adams,IA,"3,704",424,15 Jan 1851,
Allamakee,IA,"14,061",640,20 Feb 1847,
Appanoose,IA,"12,317",496,17 Feb 1843,
Audubon,IA,"5,674",443,15 Jan 1851,
Benton,IA,"25,575",716,21 Dec 1837,
Black Hawk,IA,"131,144",567,17 Feb 1853,
Boone,IA,"26,715",572,13 Jan 1846,
Bremer,IA,"24,988",428,15 Jan 1851,
Buchanan,IA,"20,565",571,21 Dec 1837,
Buena Vista,IA,"20,823",575,15 Jan 1851,
Butler,IA,"14,334",580,15 Jan 1851,
Calhoun,IA,"9,927",570,15 Jan 1851,
Carroll,IA,"20,760",569,,
Cass,IA,"13,127",564,,
Cedar,IA,"18,505",580,,
Cerro Gordo,IA,"43,127",568,,
Cherokee,IA,"11,658",577,,
Chickasaw,IA,"12,012",505,,
Clarke,IA,"9,748",431,,
Clay,IA,"16,384",569,,
Clayton,IA,"17,043",779,,
Clinton,IA,"46,460",695,,
Crawford,IA,"16,525",714,,
Dallas,IA,"99,678",586,,
Davis,IA,"9,110",503,,
Decatur,IA,"7,645",532,,
Delaware,IA,"17,488",578,,
Des Moines,IA,"38,910",416,,
Dickinson,IA,"17,703",381,,
Dubuque,IA,"99,266",608,,
Emmet,IA,"9,388",396,,
Fayette,IA,"19,509",731,,
Floyd,IA,"15,627",501,,
Franklin,IA,"10,019",582,,
Fremont,IA,"6,605",511,,
Greene,IA,"8,771",568,,
Grundy,IA,"12,329",503,,
Guthrie,IA,"10,623",591,,
Hamilton,IA,"15,039",577,,
Hancock,IA,"10,795",571,,
Hardin,IA,"16,878",569,,
Harrison,IA,"14,582",697,,
Henry,IA,"20,482",434,,
Howard,IA,"9,469",473,,
Humboldt,IA,"9,597",434,,
Ida,IA,"7,005",432,,
Iowa,IA,"16,662",586,,
Jackson,IA,"19,485",636,,
Jasper,IA,"37,813",730,,
Jefferson,IA,"15,663",435,,
Johnson,IA,"152,854",614,,
Jones,IA,"20,646",575,,
Keokuk,IA,"10,033",579,,
Kossuth,IA,"14,828",973,,
Lee,IA,"33,555",517,,
Linn,IA,"230,299",718,,
Louisa,IA,"10,837",402,,
Lucas,IA,"8,634",431,,
Lyon,IA,"11,934",588,,
Madison,IA,"16,548",561,,
Mahaska,IA,"22,190",571,,
Marion,IA,"33,414",554,,
Marshall,IA,"40,105",572,,
Mills,IA,"14,484",437,,
Mitchell,IA,"10,565",469,,
Monona,IA,"8,751",693,,
Monroe,IA,"7,577",433,,
Montgomery,IA,"10,330",424,,
Muscatine,IA,"43,235",439,,
O'Brien,IA,"14,182",573,,
Osceola,IA,"6,192",399,,
Page,IA,"15,211",535,,
Palo Alto,IA,"8,996",564,,
Plymouth,IA,"25,698",864,,
Pocahontas,IA,"7,078",578,,
Polk,IA,"492,401",570,,
Pottawattamie,IA,"93,667",954,,
Poweshiek,IA,"18,662",585,,
Ringgold,IA,"4,663",538,,
Sac,IA,"9,814",576,,
Scott,IA,"174,669",458,,
Shelby,IA,"11,746",591,,
Sioux,IA,"35,872",768,,
Story,IA,"98,537",573,,
Tama,IA,"17,135",721,,
Taylor,IA,"5,896",534,,
Union,IA,"12,138",424,,
Van Buren,IA,"7,203",485,,
Wapello,IA,"35,437",432,,
Warren,IA,"52,403",572,,
Washington,IA,"22,565",569,,
Wayne,IA,"6,497",526,,
Webster,IA,"36,999",715,,
Winnebago,IA,"10,679",400,,
Winneshiek,IA,"20,070",690,,
Woodbury,IA,"105,941",873,,
Worth,IA,"7,443",400,,
Wright,IA,"12,943",581,,
Allen,KS,"12,526",503,,
Anderson,KS,"7,836",583,,
Atchison,KS,"16,348",432,,
Barber,KS,"4,228",1134,,
Barton,KS,"25,493",894,,
Bourbon,KS,"14,360",637,,
Brown,KS,"9,508",571,,
Butler,KS,"67,380",1428,,
Chase,KS,"2,572",776,,
Chautauqua,KS,"3,379",642,,
Cherokee,KS,"19,362",587,,
Cheyenne,KS,"2,616",1020,,
Clark,KS,"1,991",975,,
Clay,KS,"8,117",644,,
Cloud,KS,"9,032",716,,
Coffey,KS,"8,360",630,,
Comanche,KS,"1,689",788,,
Cowley,KS,"34,549",1126,,
Crawford,KS,"38,972",593,,
Decatur,KS,"2,764",894,,
Dickinson,KS,"18,402",848,,
Doniphan,KS,"7,510",392,,
Douglas,KS,"118,785",457,,
Edwards,KS,"2,907",622,,
Elk,KS,"2,483",648,,
Ellis,KS,"28,934",900,,
Ellsworth,KS,"6,376",716,,
Finney,KS,"38,470",1300,,
Ford,KS,"34,287",1099,,
Franklin,KS,"25,996",574,,
Geary,KS,"36,739",384,,
Gove,KS,"2,718",1072,,
Graham,KS,"2,415",898,,
Grant,KS,"7,352",575,,
Gray,KS,"5,653",869,,
Greeley,KS,"1,284",778,,
Greenwood,KS,"6,016",1140,,
Hamilton,KS,"2,518",996,,
Harper,KS,"5,485",802,,
Harvey,KS,"34,024",539,,
Haskell,KS,"3,780",577,,
Hodgeman,KS,"1,723",860,,
Jackson,KS,"13,232",657,,
Jefferson,KS,"18,368",536,,
Jewell,KS,"2,932",909,,
Johnson,KS,"609,863",477,,
Kearny,KS,"3,983",870,,
Kingman,KS,"7,470",864,,
Kiowa,KS,"2,460",722,,
Labette,KS,"20,184",649,,
Lane,KS,"1,574",717,,
Leavenworth,KS,"81,881",463,,
Lincoln,KS,"2,939",719,,
Linn,KS,"9,591",599,,
Logan,KS,"2,762",1073,,
Lyon,KS,"32,179",851,,
Marion,KS,"11,823",903,,
Marshall,KS,"10,038",900,,
McPherson,KS,"30,223",943,,
Meade,KS,"4,055",978,,
Miami,KS,"34,191",577,,
Mitchell,KS,"5,796",700,,
Montgomery,KS,"31,486",645,,
Morris,KS,"5,386",697,,
Morton,KS,"2,701",730,,
Nemaha,KS,"10,273",719,,
Neosho,KS,"15,904",572,,
Ness,KS,"2,687",1075,,
Norton,KS,"5,459",878,,
Osage,KS,"15,766",704,,
Osborne,KS,"3,500",893,,
Ottawa,KS,"5,735",721,,
Pawnee,KS,"6,253",754,,
Phillips,KS,"4,981",886,,
Pottawatomie,KS,"25,348",844,,
Pratt,KS,"9,157",735,,
Rawlins,KS,"2,561",1070,,
Reno,KS,"61,898",1254,,
Republic,KS,"4,674",716,,
Rice,KS,"9,427",727,,
Riley,KS,"71,959",610,,
Rooks,KS,"4,919",888,,
Rush,KS,"2,956",718,,
Russell,KS,"6,691",885,,
Saline,KS,"54,303",720,,
Scott,KS,"5,151",718,,
Sedgwick,KS,"523,824",1000,,
Seward,KS,"21,964",640,,
Shawnee,KS,"178,909",550,,
Sheridan,KS,"2,447",896,,
Sherman,KS,"5,927",1056,,
Smith,KS,"3,570",896,,
Stafford,KS,"4,072",792,,
Stanton,KS,"2,084",680,,
Stevens,KS,"5,250",728,,
Sumner,KS,"22,382",1182,,
Thomas,KS,"7,930",1075,,
Trego,KS,"2,808",888,,
Wabaunsee,KS,"6,877",798,,
Wallace,KS,"1,512",914,,
Washington,KS,"5,530",898,,
Wichita,KS,"2,152",719,,
Wilson,KS,"8,624",574,,
Woodson,KS,"3,115",501,,
Wyandotte,KS,"169,245",151,,
Adair,KY,"18,903",407,,
Allen,KY,"20,588",344,,
Anderson,KY,"23,852",203,,
Ballard,KY,"7,728",251,,
Barren,KY,"44,485",491,,
Bath,KY,"12,750",279,,
Bell,KY,"24,097",361,,
Boone,KY,"135,968",246,,
Bourbon,KY,"20,252",291,,
Boyd,KY,"48,261",160,,
Boyle,KY,"30,614",182,,
Bracken,KY,"8,400",203,,
Breathitt,KY,"13,718",495,,
Breckinridge,KY,"20,432",572,,
Bullitt,KY,"82,217",299,,
Butler,KY,"12,371",428,,
Caldwell,KY,"12,649",347,,
Calloway,KY,"37,103",386,,
Campbell,KY,"93,076",152,,
Carlisle,KY,"4,826",192,,
Carroll,KY,"10,810",130,,
Carter,KY,"26,627",411,,
Casey,KY,"15,941",446,,
Christian,KY,"72,748",721,,
Clark,KY,"36,972",254,,
Clay,KY,"20,345",471,,
Clinton,KY,"9,253",198,,
Crittenden,KY,"8,990",362,,
Cumberland,KY,"5,888",306,,
Daviess,KY,"103,312",462,,
Edmonson,KY,"12,126",303,,
Elliott,KY,"7,354",234,,
Estill,KY,"14,163",254,,
Fayette,KY,"322,570",284,,
Fleming,KY,"15,082",351,,
Floyd,KY,"35,942",394,,
Franklin,KY,"51,541",210,,
Fulton,KY,"6,515",209,,
Gallatin,KY,"8,690",105,,
Garrard,KY,"16,953",231,,
Grant,KY,"24,941",260,,
Graves,KY,"36,649",556,,
Grayson,KY,"26,420",504,,
Green,KY,"11,107",289,,
Greenup,KY,"35,962",346,,
Hancock,KY,"9,095",189,,
Hardin,KY,"110,702",628,,
Harlan,KY,"26,831",467,,
Harrison,KY,"18,692",310,,
Hart,KY,"19,288",416,,
Henderson,KY,"44,793",440,,
Henry,KY,"15,678",289,,
Hickman,KY,"4,521",244,,
Hopkins,KY,"45,423",551,,
Jackson,KY,"12,955",346,,
Jefferson,KY,"782,969",385,,
Jessamine,KY,"52,991",173,,
Johnson,KY,"22,680",262,,
Kenton,KY,"169,064",163,,
Knott,KY,"14,251",352,,
Knox,KY,"30,193",388,,
LaRue,KY,"14,867",263,,
Laurel,KY,"62,613",436,,
Lawrence,KY,"16,293",419,,
Lee,KY,"7,395",210,,
Leslie,KY,"10,513",404,,
Letcher,KY,"21,548",339,,
Lewis,KY,"13,080",484,,
Lincoln,KY,"24,275",337,,
Livingston,KY,"8,888",316,,
Logan,KY,"27,432",556,,
Lyon,KY,"8,680",216,,
Madison,KY,"92,701",441,,
Magoffin,KY,"11,637",310,,
Marion,KY,"19,581",347,,
Marshall,KY,"31,659",305,,
Martin,KY,"11,287",231,,
Mason,KY,"17,120",241,,
McCracken,KY,"67,875",251,,
McCreary,KY,"16,888",428,,
McLean,KY,"9,152",254,,
Meade,KY,"30,003",308,,
Menifee,KY,"6,113",204,,
Mercer,KY,"22,641",251,,
Metcalfe,KY,"10,286",291,,
Monroe,KY,"11,338",331,,
Montgomery,KY,"28,114",199,,
Morgan,KY,"13,726",381,,
Muhlenberg,KY,"30,928",475,,
Nelson,KY,"46,738",423,,
Nicholas,KY,"7,537",197,,
Ohio,KY,"23,772",594,,
Oldham,KY,"67,607",189,,
Owen,KY,"11,278",352,,
Owsley,KY,"4,051",198,,
Pendleton,KY,"14,644",280,,
Perry,KY,"28,473",342,,
Pike,KY,"58,669",788,,
Powell,KY,"13,129",180,,
Pulaski,KY,"65,034",662,,
Robertson,KY,"2,193",100,,
Rockcastle,KY,"16,037",318,,
Rowan,KY,"24,662",281,,
Russell,KY,"17,991",254,,
Scott,KY,"57,155",285,,
Shelby,KY,"48,065",384,,
Simpson,KY,"19,594",236,,
Spencer,KY,"19,490",186,,
Taylor,KY,"26,023",270,,
Todd,KY,"12,243",376,,
Trigg,KY,"14,061",443,,
Trimble,KY,"8,474",149,,
Union,KY,"13,668",345,,
Warren,KY,"134,554",545,,
Washington,KY,"12,027",301,,
Wayne,KY,"19,555",459,,
Webster,KY,"13,017",335,,
Whitley,KY,"36,712",440,,
Wolfe,KY,"6,562",223,,
Woodford,KY,"26,871",191,,
Acadia,LA,"57,576",658,,
Allen,LA,"22,750",766,,
Ascension,LA,"126,500",303,,
Assumption,LA,"21,039",364,,
Avoyelles,LA,"39,693",866,,
Beauregard,LA,"36,549",1166,,
Bienville,LA,"12,981",822,,
Bossier,LA,"128,746",867,,
Caddo,LA,"237,848",937,,
Calcasieu,LA,"216,785",1094,,
Caldwell,LA,"9,645",541,,
Cameron,LA,"5,617",1932,,
Catahoula,LA,"8,906",739,,
Claiborne,LA,"14,170",768,,
Concordia,LA,"18,687",749,,
De Soto,LA,"26,812",895,,
East Baton Rouge,LA,"456,781",471,,
East Carroll,LA,"7,459",442,,
East Feliciana,LA,"19,539",456,,
Evangeline,LA,"32,350",680,,
Franklin,LA,"19,774",636,,
Grant,LA,"22,169",664,,
Iberia,LA,"69,929",1031,,
Iberville,LA,"30,241",653,,
Jackson,LA,"15,031",580,,
Jefferson,LA,"440,781",642,,
Jefferson Davis,LA,"32,250",659,,
Lafayette,LA,"241,753",270,,
Lafourche,LA,"97,557",1472,,
LaSalle,LA,"14,791",663,,
Lincoln,LA,"48,396",472,,
Livingston,LA,"142,282",703,,
Madison,LA,"10,017",651,,
Morehouse,LA,"25,629",805,,
Natchitoches,LA,"37,515",1299,,
Orleans,LA,"383,997",350,,
Ouachita,LA,"160,368",633,,
Plaquemines,LA,"23,515",2429,,
Pointe Coupee,LA,"20,758",591,,
Rapides,LA,"130,023",1362,,
Red River,LA,"7,620",402,,
Richland,LA,"20,043",564,,
Sabine,LA,"22,155",1012,,
St. Bernard,LA,"43,764",1794,,
St. Charles,LA,"52,549",410,,
St. Helena,LA,"10,920",409,,
St. James,LA,"20,192",258,,
St. John the Baptist,LA,"42,477",348,,
St. Landry,LA,"82,540",939,,
St. Martin,LA,"51,767",817,,
St. Mary,LA,"49,406",612,,
St. Tammany,LA,"264,570",1124,,
Tangipahoa,LA,"133,157",823,,
Tensas,LA,"4,147",641,,
Terrebonne,LA,"109,580",2080,,
Union,LA,"21,107",905,,
Vermilion,LA,"57,359",1538,,
Vernon,LA,"48,750",1341,,
Washington,LA,"45,463",676,,
Webster,LA,"36,967",615,,
West Baton Rouge,LA,"27,199",203,,
West Carroll,LA,"9,751",360,,
West Feliciana,LA,"15,310",426,,
Winn,LA,"13,755",957,,
Androscoggin,ME,"111,139",497,,
Aroostook,ME,"67,105",6829,,
Cumberland,ME,"303,069",1217,,
Franklin,ME,"29,456",1744,,
Hancock,ME,"55,478",2351,,
Kennebec,ME,"123,642",951,,
Knox,ME,"40,607",1142,,
Lincoln,ME,"35,237",700,,
Oxford,ME,"57,777",2175,,
Penobscot,ME,"152,199",3556,,
Piscataquis,ME,"16,800",4377,,
Sagadahoc,ME,"36,699",370,,
Somerset,ME,"50,477",4095,,
Waldo,ME,"39,607",853,,
Washington,ME,"31,095",3255,,
York,ME,"211,972",1271,,
Allegany,MD,"68,106",430,25 Dec 1789,
Anne Arundel,MD,"588,261",588,9 Apr 1650,
Baltimore,MD,"854,535",682,30 Jun 1659,
Calvert,MD,"92,783",92,3 Jul 1654,
Caroline,MD,"33,293",345,1773,
Carroll,MD,"172,891",326,19 Jan 1837,
Cecil,MD,"103,725",452,6 Jun 1674,
Charles,MD,"166,617",418,13 Apr 1658,
Dorchester,MD,"32,531",643,1669,
Frederick,MD,"271,717",540,10 Jun 1748,
Garrett,MD,"28,806",667,4 Nov 1872,
Harford,MD,"260,924",656,17 Dec 1773,
Howard,MD,"332,317",527,13 May 1838,
Kent,MD,"19,198",254,30 Dec 1642,
Montgomery,MD,"1,062,061",414,6 Sep 1776,
Prince George's,MD,"967,201",507,23 Apr 1696,
Queen Anne's,MD,"49,874",498,1706,
St. Mary's,MD,"113,777",510,24 Jan 1637,
Somerset,MD,"24,620",611,22 Aug 1666,
Talbot,MD,"37,526",611,12 Feb 1661,
Washington,MD,"154,705",477,6 Sep 1776,
Wicomico,MD,"103,588",468,1867,
Worcester,MD,"52,460",400,1742,
Baltimore City,MD,"585,708",92,18 Sep 1867,
Barnstable,MA,"228,996",396,,
Berkshire,MA,"129,026",931,,
Bristol,MA,"579,200",556,,
Dukes,MA,"20,600",104,,
Essex,MA,"809,829",498,,
Franklin,MA,"71,029",702,,
Hampden,MA,"465,825",618,,
Hampshire,MA,"162,308",529,,
Middlesex,MA,"1,632,002",824,,
Nantucket,MA,"14,255",48,,
Norfolk,MA,"725,981",400,,
Plymouth,MA,"530,819",661,,
Suffolk,MA,"797,936",58,,
Worcester,MA,"862,111",1513,,
Alcona,MI,"10,167",1791,,
Alger,MI,"8,842",5049,,
Allegan,MI,"120,502",1833,,
Alpena,MI,"28,907",1695,,
Antrim,MI,"23,431",602,,
Arenac,MI,"15,002",681,,
Baraga,MI,"8,158",1069,,
Barry,MI,"62,423",577,,
Bay,MI,"103,856",631,,
Benzie,MI,"17,970",860,,
Berrien,MI,"154,316",1581,,
Branch,MI,"44,862",519,,
Calhoun,MI,"134,310",718,,
Cass,MI,"51,589",508,,
Charlevoix,MI,"26,054",1391,,
Cheboygan,MI,"25,579",885,,
Chippewa,MI,"36,785",2698,,
Clare,MI,"30,856",885,,
Clinton,MI,"79,128",575,,
Crawford,MI,"12,988",563,,
Delta,MI,"36,903",1992,,
Dickinson,MI,"25,947",777,,
Eaton,MI,"109,175",579,,
Emmet,MI,"34,112",882,,
Genesee,MI,"406,211",649,,
Gladwin,MI,"25,386",516,,
Gogebic,MI,"14,380",1476,,
Grand Traverse,MI,"95,238",601,,
Gratiot,MI,"41,761",572,,
Hillsdale,MI,"45,746",607,,
Houghton,MI,"37,361",1502,,
Huron,MI,"31,407",2136,,
Ingham,MI,"284,900",561,,
Ionia,MI,"66,804",580,,
Iosco,MI,"25,237",1891,,
Iron,MI,"11,631",1211,,
Isabella,MI,"64,394",578,,
Jackson,MI,"160,366",724,,
Kalamazoo,MI,"261,670",580,,
Kalkaska,MI,"17,939",571,,
Kent,MI,"657,974",872,,
Keweenaw,MI,"2,046",5966,,
Lake,MI,"12,096",575,,
Lapeer,MI,"88,619",663,,
Leelanau,MI,"22,301",2532,,
Lenawee,MI,"99,423",761,,
Livingston,MI,"193,866",585,,
Luce,MI,"5,339",1912,,
Mackinac,MI,"10,834",2101,,
Macomb,MI,"881,217",570,,
Manistee,MI,"25,032",1281,,
Marquette,MI,"66,017",3425,,
Mason,MI,"29,052",1242,,
Mecosta,MI,"39,714",571,,
Menominee,MI,"23,502",1338,,
Midland,MI,"83,494",528,,
Missaukee,MI,"15,052",574,,
Monroe,MI,"154,809",680,,
Montcalm,MI,"66,614",721,,
Montmorency,MI,"9,153",562,,
Muskegon,MI,"175,824",1459,,
Newaygo,MI,"49,978",861,,
Oakland,MI,"1,274,395",908,,
Oceana,MI,"26,659",1307,,
Ogemaw,MI,"20,770",575,,
Ontonagon,MI,"5,816",3741,,
Osceola,MI,"22,891",573,,
Oscoda,MI,"8,219",572,,
Otsego,MI,"25,091",526,,
Ottawa,MI,"296,200",1632,,
Presque Isle,MI,"12,982",2573,,
Roscommon,MI,"23,459",580,,
Saginaw,MI,"190,124",816,,
St. Clair,MI,"160,383",837,,
St. Joseph,MI,"60,939",521,,
Sanilac,MI,"40,611",1590,,
Schoolcraft,MI,"8,047",1884,,
Shiawassee,MI,"68,094",541,,
Tuscola,MI,"53,323",914,,
Van Buren,MI,"75,587",1090,,
Washtenaw,MI,"372,258",723,,
Wayne,MI,"1,793,561",672,,
Wexford,MI,"33,673",576,,
Aitkin,MN,"15,697",1819.3,,
Anoka,MN,"363,887",423.61,,
Becker,MN,"35,183",1310.42,,
Beltrami,MN,"46,228",2505.27,,
Benton,MN,"41,379",408.28,,
Big Stone,MN,"5,166",496.95,,
Blue Earth,MN,"69,112",752.36,,
Brown,MN,"25,912",610.86,,
Carlton,MN,"36,207",860.33,,
Carver,MN,"106,922",357.04,,
Cass,MN,"30,066",2017.6,,
Chippewa,MN,"12,598",582.8,,
Chisago,MN,"56,621",417.63,,
Clay,MN,"65,318",1045.24,,
Clearwater,MN,"8,524",994.71,,
Cook,MN,"5,600",1450.6,,
Cottonwood,MN,"11,517",639.99,,
Crow Wing,MN,"66,123",996.57,,
Dakota,MN,"439,882",569.58,,
Dodge,MN,"20,867",439.5,,
Douglas,MN,"39,006",634.32,,
Faribault,MN,"13,921",713.63,,
Fillmore,MN,"21,228",861.25,,
Freeborn,MN,"30,895",707.64,,
Goodhue,MN,"47,582",758.27,,
Grant,MN,"6,074",546.41,,
Hennepin,MN,"1,281,565",556.62,,
Houston,MN,"18,843",558.41,,
Hubbard,MN,"21,344",922.46,,
Isanti,MN,"41,135",439.07,,
Itasca,MN,"45,014",2665.06,,
Jackson,MN,"9,989",701.69,,
Kanabec,MN,"16,032",524.93,,
Kandiyohi,MN,"43,732",796.06,,
Kittson,MN,"4,207",1097.08,,
Koochiching,MN,"12,062",3102.36,,
Lac qui Parle,MN,"6,719",764.87,,
Lake,MN,"10,905",2099.16,,
Lake of the Woods,MN,"3,763",1296.7,,
Le Sueur,MN,"28,674",448.5,,
Lincoln,MN,"5,640",537.03,,
Lyon,MN,"25,269",714.17,,
Mahnomen,MN,"5,411",556.14,,
Marshall,MN,"9,040",1772.24,,
Martin,MN,"20,025",709.34,,
McLeod,MN,"36,771",491.91,,
Meeker,MN,"23,400",608.54,,
Mille Lacs,MN,"26,459",574.47,,
Morrison,MN,"34,010",1124.5,,
Mower,MN,"40,029",711.5,,
Murray,MN,"8,179",704.43,,
Nicollet,MN,"34,454",452.29,,
Nobles,MN,"22,290",715.39,,
Norman,MN,"6,441",876.27,,
Olmsted,MN,"162,847",653.01,,
Otter Tail,MN,"60,081",1979.71,,
Pennington,MN,"13,992",616.54,,
Pine,MN,"28,876",1411.04,,
Pipestone,MN,"9,424",465.89,,
Polk,MN,"31,192",1970.37,,
Pope,MN,"11,308",670.14,,
Ramsey,MN,"552,352",155.78,,
Red Lake,MN,"3,935",432.43,,
Redwood,MN,"15,425",879.73,,
Renville,MN,"14,723",982.92,,
Rice,MN,"67,097",497.57,,
Rock,MN,"9,704",482.61,,
Roseau,MN,"15,331",1662.51,,
St. Louis,MN,"200,231",6225.16,,
Scott,MN,"150,928",356.68,,
Sherburne,MN,"97,183",436.3,,
Sibley,MN,"14,836",588.65,,
Stearns,MN,"158,292",1344.52,,
Steele,MN,"37,406",429.55,,
Stevens,MN,"9,671",562.06,,
Swift,MN,"9,838",743.53,,
Todd,MN,"25,262",942.02,,
Traverse,MN,"3,360",574.09,,
Wabasha,MN,"21,387",525.01,,
Wadena,MN,"14,065",535.02,,
Waseca,MN,"18,968",432.25,,
Washington,MN,"267,568",391.7,,
Watonwan,MN,"11,253",434.51,,
Wilkin,MN,"6,506",751.43,,
Winona,MN,"49,671",626.3,,
Wright,MN,"141,337",660.5,,
Yellow Medicine,MN,"9,528",757.96,,
Adams,MS,"29,538",460,,
Alcorn,MS,"34,740",400,,
Amite,MS,"12,720",730,,
Attala,MS,"17,889",735,,
Benton,MS,"7,646",407,,
Bolivar,MS,"30,985",876,,
Calhoun,MS,"13,266",587,,
Carroll,MS,"9,998",628,,
Chickasaw,MS,"17,106",502,,
Choctaw,MS,"8,246",419,,
Claiborne,MS,"9,135",487,,
Clarke,MS,"15,615",691,,
Clay,MS,"18,636",409,,
Coahoma,MS,"21,390",554,,
Copiah,MS,"28,368",777,,
Covington,MS,"18,340",414,,
DeSoto,MS,"185,314",478,,
Forrest,MS,"78,158",467,,
Franklin,MS,"7,675",565,,
George,MS,"24,350",478,,
Greene,MS,"13,530",713,,
Grenada,MS,"21,629",422,,
Hancock,MS,"46,053",477,,
Harrison,MS,"208,621",581,,
Hinds,MS,"227,742",869,,
Holmes,MS,"17,000",756,,
Humphreys,MS,"7,785",418,,
Issaquena,MS,"1,338",413,,
Itawamba,MS,"23,863",532,,
Jackson,MS,"143,252",727,,
Jasper,MS,"16,367",676,,
Jefferson,MS,"7,260",519,,
Jefferson Davis,MS,"11,321",408,,
Jones,MS,"67,246",694,,
Kemper,MS,"8,988",766,,
Lafayette,MS,"55,813",631,,
Lamar,MS,"64,222",497,,
Lauderdale,MS,"72,984",704,,
Lawrence,MS,"12,016",431,,
Leake,MS,"21,275",583,,
Lee,MS,"83,343",450,,
Leflore,MS,"28,339",592,,
Lincoln,MS,"34,907",586,,
Lowndes,MS,"58,879",502,,
Madison,MS,"109,145",719,,
Marion,MS,"24,441",542,,
Marshall,MS,"33,752",706,,
Monroe,MS,"34,180",764,,
Montgomery,MS,"9,822",407,,
Neshoba,MS,"29,087",570,,
Newton,MS,"21,291",578,,
Noxubee,MS,"10,285",695,,
Oktibbeha,MS,"51,788",458,,
Panola,MS,"33,208",684,,
Pearl River,MS,"56,145",812,,
Perry,MS,"11,511",647,,
Pike,MS,"40,324",409,,
Pontotoc,MS,"31,184",497,,
Prentiss,MS,"25,008",415,,
Quitman,MS,"6,176",405,,
Rankin,MS,"157,031",775,,
Scott,MS,"27,990",609,,
Sharkey,MS,"3,800",428,,
Simpson,MS,"25,949",589,,
Smith,MS,"14,209",636,,
Stone,MS,"18,333",445,,
Sunflower,MS,"25,971",694,,
Tallahatchie,MS,"12,715",644,,
Tate,MS,"28,064",404,,
Tippah,MS,"21,815",458,,
Tishomingo,MS,"18,850",424,,
Tunica,MS,"9,782",455,,
Union,MS,"27,777",416,,
Walthall,MS,"13,884",404,,
Warren,MS,"44,722",587,,
Washington,MS,"44,922",724,,
Wayne,MS,"19,779",810,,
Webster,MS,"9,926",423,,
Wilkinson,MS,"8,587",677,,
Winston,MS,"17,714",607,,
Yalobusha,MS,"12,481",467,,
Yazoo,MS,"26,743",920,,
Adair,MO,"25,314",568,,
Andrew,MO,"18,135",435,,
Atchison,MO,"5,305",545,,
Audrain,MO,"24,962",693,,
Barry,MO,"34,534",779,,
Barton,MO,"11,637",594,,
Bates,MO,"16,042",848,,
Benton,MO,"19,394",706,,
Bollinger,MO,"10,567",621,,
Boone,MO,"183,610",685,,
Buchanan,MO,"84,793",410,,
Butler,MO,"42,130",698,,
Caldwell,MO,"8,815",429,,
Callaway,MO,"44,283",839,,
Camden,MO,"42,745",655,,
Cape Girardeau,MO,"81,710",579,,
Carroll,MO,"8,495",695,,
Carter,MO,"5,202",508,,
Cass,MO,"107,824",699,,
Cedar,MO,"14,188",476,,
Chariton,MO,"7,408",756,,
Christian,MO,"88,842",563,,
Clark,MO,"6,634",507,,
Clay,MO,"253,335",396,,
Clinton,MO,"21,184",419,,
Cole,MO,"77,279",392,,
Cooper,MO,"17,103",565,,
Crawford,MO,"23,056",743,,
Dade,MO,"7,569",490,,
Dallas,MO,"17,071",542,,
Daviess,MO,"8,430",567,,
DeKalb,MO,"11,029",424,,
Dent,MO,"14,421",754,,
Douglas,MO,"11,578",815,,
Dunklin,MO,"28,283",546,,
Franklin,MO,"104,682",922,,
Gasconade,MO,"14,794",520,,
Gentry,MO,"6,162",492,,
Greene,MO,"298,915",675,,
Grundy,MO,"9,808",436,,
Harrison,MO,"8,157",725,,
Henry,MO,"21,946",702,,
Hickory,MO,"8,279",399,,
Holt,MO,"4,223",462,,
Howard,MO,"10,151",466,,
Howell,MO,"39,750",928,,
Iron,MO,"9,537",551,,
Jackson,MO,"717,204",605,,
Jasper,MO,"122,761",640,,
Jefferson,MO,"226,739",657,,
Johnson,MO,"54,013",831,,
Knox,MO,"3,744",506,,
Laclede,MO,"36,039",766,,
Lafayette,MO,"32,984",629,,
Lawrence,MO,"38,001",613,,
Lewis,MO,"10,032",505,,
Lincoln,MO,"59,574",630,,
Linn,MO,"11,874",620,,
Livingston,MO,"14,557",535,,
Macon,MO,"15,209",497,,
Madison,MO,"12,626",528,,
Maries,MO,"8,432",438,,
Marion,MO,"28,525",540,,
McDonald,MO,"23,303",804,,
Mercer,MO,"3,538",454,,
Miller,MO,"24,722",592,,
